room,Patient_Room1,134,84,30,40,0,Medical Center,901,WORKING_TIME:24h,equipments-802:xray:3,drugs-512:Aspirin:1
waitingRoom,Waiting_room,7,7,388,163,0,Medical Center,
waitingRoom,Waiting_room,7,7,379,163,0,Medical Center,
waitingRoom,Waiting_room,7,7,361,163,0,Medical Center,
waitingRoom,Waiting_room,7,7,370,163,0,Medical Center,
waitingRoom,Waiting_room,7,7,388,154,0,Medical Center,
waitingRoom,Waiting_room,7,7,379,154,0,Medical Center,
waitingRoom,Waiting_room,7,7,370,154,0,Medical Center,
door,Entrance,6,51,30,136,0,Medical Center,
door,Entrance,51,6,217,422,0,Medical Center,
waitingRoom,Waiting_room,7,7,210,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,282,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,273,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,264,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,255,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,246,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,237,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,228,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,219,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,210,161,0,Medical Center,
waitingRoom,Waiting_room,7,7,282,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,273,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,264,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,255,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,246,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,237,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,228,152,0,Medical Center,
waitingRoom,Waiting_room,7,7,219,152,0,Medical Center,
door,Door,26,4,120,120,0,Medical Center,
door,Door,26,4,316,99,0,Medical Center,
door,Door,26,4,254,81,0,Medical Center,
door,Door,26,4,183,81,0,Medical Center,
door,Door,4,26,403,116,0,Medical Center,
door,Door,4,26,403,355,0,Medical Center,
door,Door,4,26,361,257,0,Medical Center,
door,Door,4,26,361,200,0,Medical Center,
door,Door,4,26,152,223,0,Medical Center,
door,Door,4,26,152,303,0,Medical Center,
door,Door,4,26,152,364,0,Medical Center,
door,Door,4,26,286,200,0,Medical Center,
door,Door,4,26,210,181,0,Medical Center,
door,Door,26,4,228,266,0,Medical Center,
base,Building,447,388,30,40,1,Medical Center,
elevator,Elevator,111,63,293,40,1,Medical Center,
restroom,Wc,66,45,163,40,1,Medical Center,
restroom,Wc,66,45,228,40,1,Medical Center,
stairs,Stairs,36,40,299,388,1,Medical Center,
room,Patient_Room6,132,40,118,388,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room7,65,65,167,184,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room8,65,65,231,184,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room9,65,65,167,248,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room10,65,65,231,248,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
storageRoom,Employee_Room4,134,83,30,40,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
storageRoom,Employee_Room5,89,133,30,122,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room11,89,80,30,348,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room12,74,150,403,40,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room13,74,119,403,189,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2,drugs-112:Brufen:1:512:Aspirin:1
room,Patient_Room14,74,121,403,307,1,Medical Center,901,WORKING_TIME:24h,equipments-801:masks:2:802:xray:3,drugs-112:Brufen:1
waitingRoom,Waiting_room,7,7,318,170,1,Medical Center,
waitingRoom,Waiting_room,7,7,309,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,300,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,291,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,282,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,282,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,291,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,300,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,206,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,197,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,188,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,179,1,Medical Center,
waitingRoom,Waiting_room,7,7,318,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,309,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,206,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,197,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,188,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,179,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,170,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,161,1,Medical Center,
waitingRoom,Waiting_room,7,7,327,152,1,Medical Center,
waitingRoom,Waiting_room,7,7,175,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,184,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,193,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,317,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,308,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,317,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,299,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,308,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,299,1,Medical Center,
waitingRoom,Waiting_room,7,7,193,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,166,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,157,326,1,Medical Center,
waitingRoom,Waiting_room,7,7,184,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,175,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,166,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,157,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,290,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,290,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,281,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,335,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,290,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,290,1,Medical Center,
waitingRoom,Waiting_room,7,7,139,281,1,Medical Center,
waitingRoom,Waiting_room,7,7,148,281,1,Medical Center,
base,Building,447,388,30,40,2,Medical Center,
elevator,Elevator,111,63,293,40,2,Medical Center,
restroom,Wc,66,45,163,40,2,Medical Center,
restroom,Wc,66,45,228,40,2,Medical Center,
stairs,Stairs,36,40,299,388,2,Medical Center,
room,Patient_Room16,132,40,118,388,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room17,65,65,167,184,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room18,65,65,231,184,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room19,65,65,167,248,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room20,65,65,231,248,2,Medical Center,901,WORKING_TIME:24h
storageRoom,Employee_Room6,134,83,30,40,2,Medical Center,901,WORKING_TIME:24h
storageRoom,Employee_Room7,89,133,30,122,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room21,89,80,30,348,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room22,74,150,403,40,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room23,74,119,403,189,2,Medical Center,901,WORKING_TIME:24h
room,Patient_Room24,74,121,403,307,2,Medical Center,901,WORKING_TIME:24h
waitingRoom,Waiting_room,7,7,318,170,2,Medical Center,
waitingRoom,Waiting_room,7,7,309,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,300,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,291,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,282,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,282,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,291,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,300,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,206,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,197,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,188,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,179,2,Medical Center,
waitingRoom,Waiting_room,7,7,318,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,309,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,206,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,197,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,188,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,179,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,170,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,161,2,Medical Center,
waitingRoom,Waiting_room,7,7,327,152,2,Medical Center,
waitingRoom,Waiting_room,7,7,175,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,184,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,193,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,317,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,308,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,317,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,299,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,308,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,299,2,Medical Center,
waitingRoom,Waiting_room,7,7,193,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,166,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,157,326,2,Medical Center,
waitingRoom,Waiting_room,7,7,184,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,175,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,166,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,157,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,290,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,290,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,281,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,335,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,290,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,290,2,Medical Center,
waitingRoom,Waiting_room,7,7,139,281,2,Medical Center,
waitingRoom,Waiting_room,7,7,148,281,2,Medical Center,
